Nombre,TimeStamp,Tipo_Registro,Parametros,Accuracy,Precision,Recall,F1_Score,Variables
DecisionTree,20200624-211427,entrenamiento,{prof_max:5 muestras_min:50},0.772,0.786,0.606,0.684,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200624-211439,entrenamiento,{prof_max: muestras_min:},0.843,0.859,0.684,0.761,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200624-211442,entrenamiento,{prof_max: muestras_min:},0.798,0.781,0.641,0.704,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200624-212130,entrenamiento,{prof_max: muestras_min:},0.798,0.781,0.641,0.704,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200624-212233,entrenamiento,{prof_max: muestras_min:},0.798,0.781,0.641,0.704,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200624-212318,entrenamiento,{prof_max: muestras_min:},0.798,0.781,0.641,0.704,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200624-212343,entrenamiento,{prof_max: muestras_min:},0.798,0.781,0.641,0.704,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200624-212403,entrenamiento,{prof_max: muestras_min:},0.798,0.781,0.641,0.704,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200624-212510,entrenamiento,{prof_max: muestras_min:},0.798,0.781,0.641,0.704,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200624-212820,entrenamiento,{prof_max: muestras_min:},0.798,0.781,0.641,0.704,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-093306,entrenamiento,{prof_max:5 muestras_min:50},0.811,0.895,0.606,0.723,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-101637,entrenamiento,{prof_max:5 muestras_min:50},0.811,0.925,0.583,0.715,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-101800,entrenamiento,{prof_max: muestras_min:},0.835,0.922,0.602,0.728,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-101806,entrenamiento,{prof_max: muestras_min:},0.795,0.863,0.538,0.663,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-101955,entrenamiento,{prof_max: muestras_min:},0.795,0.863,0.538,0.663,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-102148,entrenamiento,{prof_max: muestras_min:},0.795,0.863,0.538,0.663,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-102310,entrenamiento,{prof_max: muestras_min:},0.795,0.863,0.538,0.663,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-102431,entrenamiento,{prof_max: muestras_min:},0.795,0.863,0.538,0.663,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-105751,entrenamiento,{prof_max: muestras_min:},0.835,0.922,0.602,0.728,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-105808,entrenamiento,{prof_max: muestras_min:},0.795,0.863,0.538,0.663,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-110541,entrenamiento,{prof_max: muestras_min:},0.795,0.863,0.538,0.663,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-110700,entrenamiento,{prof_max:10 muestras_min:50},0.808,0.894,0.598,0.717,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-110710,entrenamiento,{prof_max: muestras_min:},0.785,0.821,0.547,0.656,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-110810,entrenamiento,{prof_max:10 muestras_min:75},0.801,0.922,0.559,0.696,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-110825,entrenamiento,{prof_max: muestras_min:},0.795,0.863,0.538,0.663,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-110927,entrenamiento,{prof_max:15 muestras_min:75},0.801,0.922,0.559,0.696,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-111021,entrenamiento,{prof_max:15 muestras_min:50},0.808,0.894,0.598,0.717,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-111037,entrenamiento,{prof_max: muestras_min:},0.785,0.821,0.547,0.656,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-111426,entrenamiento,{prof_max:15 muestras_min:50},0.763,0.719,0.685,0.702,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-111447,entrenamiento,{prof_max: muestras_min:},0.831,0.762,0.786,0.774,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-111450,entrenamiento,{prof_max: muestras_min:},0.788,0.711,0.735,0.723,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-115132,entrenamiento,{prof_max:15 muestras_min:50},0.811,0.862,0.638,0.733,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-115155,entrenamiento,{prof_max: muestras_min:},0.865,0.908,0.704,0.793,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-115158,entrenamiento,{prof_max: muestras_min:},0.785,0.772,0.607,0.679,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-115538,entrenamiento,{prof_max: muestras_min:},0.785,0.772,0.607,0.679,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-115735,entrenamiento,{prof_max: muestras_min:},0.763,0.69,0.667,0.678,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-115927,entrenamiento,{prof_max: muestras_min:},0.785,0.772,0.607,0.679,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-120047,entrenamiento,{prof_max: muestras_min:},0.801,0.877,0.547,0.674,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-120617,entrenamiento,{prof_max: muestras_min:},0.801,0.877,0.547,0.674,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-120637,entrenamiento,{prof_max: muestras_min:},0.801,0.877,0.547,0.674,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-120932,entrenamiento,{prof_max:15 muestras_min:60},0.814,0.948,0.575,0.716,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-120957,entrenamiento,{prof_max:15 muestras_min:75},0.814,0.948,0.575,0.716,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-121039,entrenamiento,{prof_max:10 muestras_min:100},0.792,0.956,0.512,0.667,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-121054,entrenamiento,{prof_max: muestras_min:},0.801,0.923,0.513,0.659,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-121143,entrenamiento,{prof_max:10 muestras_min:100},0.795,0.765,0.717,0.74,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-121152,entrenamiento,{prof_max: muestras_min:},0.763,0.69,0.667,0.678,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-121321,entrenamiento,{prof_max: muestras_min:},0.763,0.69,0.667,0.678,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-121455,entrenamiento,{prof_max:20 muestras_min:75},0.811,0.947,0.567,0.709,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-121510,entrenamiento,{prof_max: muestras_min:},0.831,0.908,0.602,0.724,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-121523,entrenamiento,{prof_max: muestras_min:},0.798,0.875,0.538,0.667,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-121624,entrenamiento,{prof_max: muestras_min:},0.798,0.875,0.538,0.667,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-121650,entrenamiento,{prof_max:20 muestras_min:75},0.792,0.707,0.835,0.765,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-121708,entrenamiento,{prof_max: muestras_min:},0.805,0.685,0.867,0.766,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-121711,entrenamiento,{prof_max: muestras_min:},0.776,0.672,0.786,0.724,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-124034,entrenamiento,{prof_max:20 muestras_min:75},0.792,0.707,0.835,0.765,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-124105,entrenamiento,{prof_max:20 muestras_min:75},0.792,0.707,0.835,0.765,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-124110,entrenamiento,{prof_max:20 muestras_min:75},0.792,0.707,0.835,0.765,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-131811,entrenamiento,{prof_max: muestras_min:},0.776,0.672,0.786,0.724,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-132508,entrenamiento,{prof_max: muestras_min:},0.776,0.672,0.786,0.724,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-132828,entrenamiento,{prof_max: muestras_min:},0.776,0.672,0.786,0.724,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-132902,entrenamiento,{prof_max: muestras_min:},0.776,0.672,0.786,0.724,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-132948,entrenamiento,{prof_max: muestras_min:},0.776,0.672,0.786,0.724,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-152331,entrenamiento,{prof_max: muestras_min:},0.776,0.672,0.786,0.724,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-152751,entrenamiento,{prof_max: muestras_min:},0.776,0.672,0.786,0.724,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-153242,entrenamiento,{prof_max: muestras_min:},0.776,0.672,0.786,0.724,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-153400,entrenamiento,{prof_max: muestras_min:},0.776,0.672,0.786,0.724,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-153514,entrenamiento,{prof_max: muestras_min:},0.776,0.672,0.786,0.724,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-153605,entrenamiento,{prof_max: muestras_min:},0.776,0.672,0.786,0.724,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-153636,entrenamiento,{prof_max: muestras_min:},0.776,0.672,0.786,0.724,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-153819,entrenamiento,{prof_max: muestras_min:},0.776,0.672,0.786,0.724,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-154400,entrenamiento,{prof_max: muestras_min:},0.776,0.672,0.786,0.724,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-154607,entrenamiento,{prof_max: muestras_min:},0.776,0.672,0.786,0.724,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-154650,entrenamiento,{prof_max: muestras_min:},0.776,0.672,0.786,0.724,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-161257,entrenamiento,{prof_max: muestras_min:},0.776,0.672,0.786,0.724,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200626-104329,entrenamiento,{prof_max:20 muestras_min:75},0.75,0.738,0.598,0.661,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200626-104353,entrenamiento,{prof_max: muestras_min:},0.816,0.866,0.592,0.703,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200626-104356,entrenamiento,{prof_max: muestras_min:},0.747,0.694,0.581,0.633,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200626-105646,entrenamiento,{prof_max:20 muestras_min:75},0.814,0.776,0.764,0.77,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200626-105707,entrenamiento,{prof_max: muestras_min:},0.824,0.758,0.765,0.761,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200626-105710,entrenamiento,{prof_max: muestras_min:},0.776,0.708,0.684,0.696,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200626-105854,entrenamiento,{prof_max:20 muestras_min:75},0.776,0.87,0.528,0.657,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200626-105915,entrenamiento,{prof_max: muestras_min:},0.805,0.911,0.52,0.662,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200626-105918,entrenamiento,{prof_max: muestras_min:},0.801,0.867,0.556,0.677,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200629-093853,entrenamiento,{prof_max:20 muestras_min:75},0.782,0.824,0.591,0.688,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200629-093922,entrenamiento,{prof_max: muestras_min:},0.828,0.933,0.571,0.709,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200629-093925,entrenamiento,{prof_max: muestras_min:},0.763,0.753,0.547,0.634,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200629-094305,entrenamiento,{prof_max:20 muestras_min:75},0.782,0.824,0.591,0.688,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200629-094450,entrenamiento,{prof_max:20 muestras_min:75},0.763,0.702,0.724,0.713,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200629-094548,entrenamiento,{prof_max:20 muestras_min:75},0.779,0.73,0.724,0.727,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200629-094639,entrenamiento,{prof_max:20 muestras_min:40},0.779,0.73,0.724,0.727,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200629-094658,entrenamiento,{prof_max:20 muestras_min:50},0.811,0.804,0.709,0.753,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200629-100501,entrenamiento,{prof_max: muestras_min:},0.865,0.86,0.755,0.804,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200629-100652,entrenamiento,{prof_max: muestras_min:},0.766,0.716,0.624,0.667,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
