Nombre,TimeStamp,Tipo_Registro,Parametros,Accuracy,Precision,Recall,F1_Score,Variables
SVM,20200624-211442,entrenamiento,{Factor C Regularizacion:},0.795,0.752,0.675,0.712,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200624-212130,entrenamiento,{Factor C Regularizacion:},0.795,0.752,0.675,0.712,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200624-212233,entrenamiento,{Factor C Regularizacion:},0.795,0.752,0.675,0.712,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200624-212318,entrenamiento,{Factor C Regularizacion:},0.795,0.752,0.675,0.712,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200624-212343,entrenamiento,{Factor C Regularizacion:},0.795,0.752,0.675,0.712,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200624-212403,entrenamiento,{Factor C Regularizacion:},0.795,0.752,0.675,0.712,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200624-212510,entrenamiento,{Factor C Regularizacion:},0.795,0.752,0.675,0.712,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200624-212820,entrenamiento,{Factor C Regularizacion:},0.795,0.752,0.675,0.712,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-093309,entrenamiento,{Factor C Regularizacion:1},0.808,0.791,0.717,0.752,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-101710,entrenamiento,{Factor C Regularizacion:1},0.795,0.765,0.717,0.74,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-101800,entrenamiento,{Factor C Regularizacion:},0.787,0.73,0.663,0.695,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-101806,entrenamiento,{Factor C Regularizacion:},0.779,0.726,0.658,0.691,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-101955,entrenamiento,{Factor C Regularizacion:},0.779,0.726,0.658,0.691,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-102149,entrenamiento,{Factor C Regularizacion:},0.779,0.726,0.658,0.691,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-102310,entrenamiento,{Factor C Regularizacion:},0.779,0.726,0.658,0.691,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
