Nombre,TimeStamp,Tipo_Registro,Parametros,Accuracy,Precision,Recall,F1_Score,Variables
SVM,20200629-095444,entrenamiento,{Factor C Regularizacion:0.01},0.748,0.846,0.322,0.466,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200629-095509,entrenamiento,{Factor C Regularizacion:1.0},0.816,0.731,0.731,0.731,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200629-095552,entrenamiento,{Factor C Regularizacion:1.5},0.816,0.731,0.731,0.731,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200629-095629,entrenamiento,{Factor C Regularizacion:5},0.816,0.731,0.731,0.731,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200629-100005,entrenamiento,{Factor C Regularizacion:5},0.736,0.791,0.31,0.445,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200629-100034,entrenamiento,{Factor C Regularizacion:4},0.734,0.797,0.298,0.434,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200629-100043,entrenamiento,{Factor C Regularizacion:3},0.71,0.771,0.216,0.338,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200629-100050,entrenamiento,{Factor C Regularizacion:10},0.752,0.77,0.392,0.519,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200629-100136,entrenamiento,{Factor C Regularizacion:20},0.77,0.792,0.444,0.569,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200629-100157,entrenamiento,{Factor C Regularizacion:25},0.8,0.866,0.491,0.627,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200629-100223,entrenamiento,{Factor C Regularizacion:40},0.83,0.841,0.62,0.714,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200629-100246,entrenamiento,{Factor C Regularizacion:60},0.86,0.802,0.784,0.793,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200629-100308,entrenamiento,{Factor C Regularizacion:80},0.862,0.783,0.825,0.803,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200629-100338,entrenamiento,{Factor C Regularizacion:70},0.862,0.783,0.825,0.803,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200629-100401,entrenamiento,{Factor C Regularizacion:50},0.862,0.849,0.725,0.782,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
