Nombre,TimeStamp,Tipo_Registro,Parametros,Accuracy,Precision,Recall,F1_Score,Variables
LogisticRegression,20200625-105811,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.788,0.859,0.521,0.649,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-110545,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.788,0.859,0.521,0.649,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-110714,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.788,0.859,0.521,0.649,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-110828,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.788,0.859,0.521,0.649,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-111041,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.788,0.859,0.521,0.649,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-111447,prediccion,{Learning Rate:0.0015 Iteraciones:600 Lambda:0.0015 L:2.0 Batch Size:32},0.686,0.968,0.236,0.38,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-111450,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.674,0.789,0.153,0.256,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-111453,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.686,0.88,0.188,0.31,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-115155,prediccion,{Learning Rate:0.0015 Iteraciones:600 Lambda:0.0015 L:2.0 Batch Size:32},0.83,0.814,0.756,0.784,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-115158,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.779,0.701,0.694,0.697,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-115201,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.776,0.716,0.667,0.69,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-115227,prediccion,{Learning Rate:0.0015 Iteraciones:1000 Lambda:0.0015 L:2.0 Batch Size:32},0.83,0.814,0.756,0.784,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
