Nombre,TimeStamp,Tipo_Registro,Accuracy,Precision,Recall,F1_Score,Variables
NaiveBayes,20200625-123642,prediccion,0.638,0.938,0.118,0.21,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200625-123655,prediccion,0.638,0.938,0.118,0.21,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200625-123714,prediccion,0.638,0.938,0.118,0.21,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200625-131814,prediccion,0.667,0.933,0.12,0.212,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200625-132511,prediccion,0.667,0.933,0.12,0.212,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200625-132831,prediccion,0.667,0.933,0.12,0.212,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200625-132905,prediccion,0.667,0.933,0.12,0.212,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200625-132951,prediccion,0.667,0.933,0.12,0.212,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200625-152343,prediccion,0.667,0.933,0.12,0.212,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200625-152802,prediccion,0.667,0.933,0.12,0.212,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200625-153253,prediccion,0.667,0.933,0.12,0.212,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200625-153411,prediccion,0.667,0.933,0.12,0.212,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200625-153525,prediccion,0.667,0.933,0.12,0.212,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200625-153615,prediccion,0.667,0.933,0.12,0.212,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200625-153646,prediccion,0.667,0.933,0.12,0.212,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200625-153830,prediccion,0.667,0.933,0.12,0.212,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200625-154410,prediccion,0.667,0.933,0.12,0.212,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
